iter	Passed	Remaining
0	46	46046
1	46	23309
2	47	15669
3	47	11859
4	48	9579
5	48	8053
6	49	6964
7	49	6146
8	50	5511
9	50	5000
10	50	4575
11	51	4221
12	51	3922
13	52	3665
14	52	3442
15	52	3248
16	53	3076
17	53	2926
18	54	2788
19	54	2662
20	54	2552
21	55	2451
22	55	2351
23	55	2259
24	56	2199
25	56	2128
26	57	2062
27	57	2000
28	58	1942
29	58	1888
30	58	1837
31	59	1785
32	59	1735
33	59	1688
34	60	1667
35	60	1625
36	60	1586
37	61	1561
38	61	1525
39	62	1490
40	62	1469
41	63	1439
42	63	1411
43	63	1383
44	64	1364
45	64	1339
46	64	1317
47	65	1293
48	65	1270
49	67	1279
50	67	1265
51	68	1253
52	69	1235
53	69	1218
54	69	1199
55	70	1180
56	70	1171
57	71	1155
58	71	1138
59	71	1121
60	71	1105
61	72	1089
62	72	1074
63	72	1059
64	72	1045
65	72	1031
66	73	1017
67	73	1004
68	73	991
69	73	979
70	73	967
71	74	955
72	74	944
73	74	933
74	74	922
75	74	911
76	75	901
77	75	891
78	75	881
79	75	871
80	76	862
81	76	853
82	76	843
83	76	834
84	76	826
85	76	817
86	77	809
87	77	801
88	77	794
89	77	787
90	78	780
91	78	773
92	78	766
93	78	759
94	78	752
95	79	745
96	79	739
97	79	732
98	79	726
99	80	720
100	80	714
101	80	708
102	80	702
103	80	697
104	81	691
105	81	686
106	81	680
107	81	675
108	81	669
109	82	664
110	82	659
111	82	654
112	82	649
113	82	644
114	83	640
115	83	635
116	83	630
117	83	626
118	83	621
119	84	617
120	84	613
121	84	608
122	84	604
123	84	600
124	85	596
125	85	592
126	85	588
127	85	584
128	85	580
129	86	576
130	86	573
131	86	569
132	86	565
133	87	562
134	87	558
135	87	555
136	87	551
137	87	548
138	88	545
139	88	542
140	88	539
141	88	535
142	88	532
143	89	529
144	89	526
145	89	523
146	89	520
147	89	517
148	90	514
149	90	511
150	90	508
151	90	506
152	90	503
153	91	500
154	91	498
155	91	495
156	91	493
157	92	490
158	92	487
159	92	485
160	92	482
161	92	480
162	93	477
163	93	475
164	93	473
165	93	470
166	93	468
167	94	466
168	94	463
169	94	461
170	94	459
171	94	457
172	95	455
173	95	453
174	95	450
175	95	448
176	96	446
177	96	444
178	96	442
179	96	440
180	96	438
181	97	436
182	97	434
183	97	432
184	97	430
185	97	428
186	98	426
187	98	424
188	98	422
189	98	421
190	98	419
191	99	417
192	99	415
193	99	413
194	99	412
195	100	410
196	100	408
197	100	407
198	100	405
199	101	404
200	101	402
201	101	401
202	101	399
203	102	398
204	102	396
205	102	394
206	102	393
207	102	391
208	103	390
209	103	388
210	103	387
211	103	385
212	103	384
213	104	382
214	104	381
215	104	379
216	104	378
217	105	376
218	105	375
219	105	373
220	105	372
221	105	370
222	106	369
223	106	368
224	106	366
225	106	365
226	107	364
227	107	363
228	107	361
229	107	360
230	107	359
231	108	357
232	108	356
233	108	355
234	108	353
235	108	352
236	109	353
237	110	352
238	110	351
239	110	349
240	110	348
241	110	347
242	111	346
243	111	344
244	111	343
245	111	342
246	111	341
247	112	340
248	112	338
249	112	337
250	112	336
251	112	335
252	113	334
253	113	332
254	113	331
255	113	330
256	114	329
257	114	328
258	114	327
259	114	326
260	114	325
261	115	324
262	115	323
263	115	321
264	115	320
265	115	319
266	116	318
267	116	317
268	116	316
269	116	315
270	116	314
271	117	313
272	117	312
273	117	311
274	117	310
275	118	309
276	118	308
277	118	307
278	118	306
279	118	305
280	119	304
281	119	303
282	119	302
283	119	301
284	119	300
285	120	299
286	120	298
287	120	298
288	120	297
289	120	296
290	121	295
291	121	294
292	121	293
293	121	292
294	122	291
295	122	291
296	122	290
297	122	289
298	123	288
299	123	287
300	123	286
301	123	285
302	123	284
303	124	284
304	124	283
305	124	282
306	124	281
307	124	280
308	125	279
309	125	278
310	125	278
311	125	277
312	125	276
313	126	276
314	126	275
315	127	275
316	127	274
317	127	273
318	128	274
319	128	273
320	129	273
321	129	273
322	130	272
323	130	272
324	131	272
325	131	271
326	131	270
327	132	271
328	132	270
329	133	270
330	133	270
331	133	269
332	134	269
333	134	269
334	135	268
335	135	268
336	136	268
337	136	267
338	137	267
339	137	267
340	137	266
341	137	265
342	138	264
343	138	263
344	139	264
345	139	263
346	139	262
347	139	262
348	140	261
349	140	260
350	140	259
351	140	259
352	140	258
353	141	257
354	141	256
355	141	256
356	141	255
357	142	254
358	142	253
359	142	253
360	142	252
361	142	251
362	143	251
363	143	250
364	143	249
365	143	249
366	143	248
367	144	247
368	144	246
369	144	246
370	145	245
371	145	245
372	145	244
373	145	243
374	145	243
375	146	242
376	146	241
377	146	240
378	146	240
379	146	239
380	147	238
381	147	238
382	147	237
383	147	236
384	147	236
385	148	235
386	148	234
387	148	234
388	148	233
389	148	232
390	149	232
391	149	231
392	149	230
393	149	230
394	150	229
395	150	229
396	150	228
397	150	227
398	150	227
399	151	226
400	151	225
401	151	225
402	151	224
403	151	224
404	152	223
405	152	222
406	152	222
407	152	221
408	153	221
409	153	220
410	153	220
411	153	219
412	153	218
413	154	218
414	154	217
415	154	217
416	155	216
417	155	216
418	155	215
419	155	215
420	156	214
421	156	213
422	156	213
423	156	212
424	156	212
425	157	211
426	157	211
427	157	210
428	157	209
429	157	209
430	158	208
431	158	208
432	158	207
433	158	207
434	159	206
435	159	205
436	159	205
437	159	204
438	159	204
439	160	203
440	160	203
441	160	202
442	160	202
443	160	201
444	161	200
445	161	200
446	161	199
447	161	199
448	161	198
449	162	198
450	162	198
451	162	197
452	163	197
453	163	196
454	164	196
455	164	196
456	165	196
457	165	195
458	166	195
459	166	195
460	167	195
461	167	195
462	167	194
463	167	193
464	168	193
465	168	192
466	168	192
467	169	192
468	169	192
469	169	191
470	170	191
471	170	190
472	170	190
473	170	189
474	171	189
475	171	188
476	171	188
477	171	187
478	171	187
479	172	186
480	172	185
481	172	185
482	172	184
483	172	184
484	173	183
485	173	183
486	173	182
487	173	182
488	174	181
489	174	181
490	174	180
491	174	180
492	174	179
493	175	179
494	175	178
495	175	178
496	175	177
497	175	177
498	176	176
499	176	176
500	176	175
501	176	175
502	176	174
503	177	174
504	177	173
505	177	173
506	178	173
507	178	173
508	179	172
509	179	172
510	179	172
511	180	171
512	180	171
513	180	170
514	181	171
515	181	170
516	182	170
517	182	169
518	182	169
519	183	169
520	183	169
521	184	169
522	184	168
523	185	168
524	185	168
525	186	167
526	186	167
527	187	167
528	187	166
529	187	166
530	188	166
531	188	165
532	189	165
533	189	165
534	189	165
535	190	164
536	190	164
537	190	163
538	191	163
539	191	163
540	192	163
541	192	162
542	192	162
543	192	161
544	193	161
545	193	160
546	193	160
547	193	159
548	193	159
549	194	158
550	194	158
551	194	157
552	194	157
553	194	156
554	195	156
555	195	156
556	195	155
557	195	155
558	196	154
559	196	154
560	197	154
561	197	154
562	198	154
563	199	154
564	199	153
565	200	153
566	200	153
567	201	152
568	201	152
569	202	152
570	202	151
571	202	151
572	202	151
573	202	150
574	203	150
575	203	149
576	203	149
577	203	148
578	203	148
579	205	148
580	205	148
581	205	147
582	206	147
583	206	147
584	206	146
585	207	146
586	207	146
587	208	145
588	208	145
589	209	145
590	209	144
591	209	144
592	210	144
593	210	143
594	210	143
595	210	142
596	210	142
597	212	142
598	212	142
599	212	141
600	212	141
601	212	140
602	213	140
603	213	139
604	213	139
605	213	139
606	214	138
607	214	138
608	215	138
609	216	138
610	216	137
611	216	137
612	217	137
613	217	136
614	218	136
615	218	136
616	219	136
617	219	135
618	219	135
619	220	134
620	220	134
621	220	134
622	220	133
623	220	133
624	221	132
625	221	132
626	221	131
627	221	131
628	221	130
629	222	130
630	222	130
631	222	129
632	222	129
633	223	128
634	223	128
635	223	127
636	223	127
637	223	126
638	224	126
639	224	126
640	224	125
641	224	125
642	224	124
643	225	124
644	225	124
645	225	123
646	225	123
647	225	122
648	226	122
649	226	121
650	226	121
651	226	121
652	226	120
653	227	120
654	227	119
655	227	119
656	227	118
657	227	118
658	228	118
659	228	117
660	228	117
661	228	116
662	229	116
663	229	116
664	229	115
665	229	115
666	229	114
667	230	114
668	230	113
669	230	113
670	230	113
671	231	112
672	231	112
673	231	111
674	231	111
675	231	111
676	232	110
677	232	110
678	232	109
679	232	109
680	232	109
681	233	108
682	233	108
683	233	107
684	233	107
685	233	107
686	234	106
687	234	106
688	234	105
689	234	105
690	234	105
691	235	104
692	235	104
693	235	103
694	235	103
695	235	103
696	236	102
697	236	102
698	236	101
699	236	101
700	236	101
701	237	100
702	237	100
703	237	99
704	237	99
705	237	99
706	238	98
707	238	98
708	238	97
709	238	97
710	238	97
711	239	96
712	239	96
713	239	95
714	239	95
715	240	95
716	240	94
717	240	94
718	240	94
719	240	93
720	241	93
721	241	92
722	241	92
723	241	92
724	241	91
725	242	91
726	242	90
727	242	90
728	242	90
729	242	89
730	243	89
731	243	89
732	243	88
733	243	88
734	244	88
735	244	87
736	244	87
737	244	86
738	244	86
739	245	86
740	245	85
741	245	85
742	245	85
743	245	84
744	246	84
745	246	83
746	246	83
747	246	83
748	247	82
749	247	82
750	247	82
751	247	81
752	247	81
753	248	80
754	248	80
755	248	80
756	248	79
757	248	79
758	249	79
759	249	78
760	249	78
761	249	77
762	249	77
763	250	77
764	250	76
765	250	76
766	250	76
767	251	75
768	251	75
769	251	75
770	251	74
771	251	74
772	252	74
773	252	73
774	252	73
775	252	72
776	252	72
777	253	72
778	253	71
779	253	71
780	253	71
781	253	70
782	254	70
783	254	70
784	254	69
785	254	69
786	254	69
787	255	68
788	255	68
789	255	67
790	255	67
791	256	67
792	256	66
793	256	66
794	256	66
795	256	65
796	257	65
797	257	65
798	257	64
799	257	64
800	257	64
801	258	63
802	258	63
803	258	63
804	258	62
805	258	62
806	259	61
807	259	61
808	259	61
809	259	60
810	260	60
811	260	60
812	260	59
813	260	59
814	260	59
815	261	58
816	261	58
817	261	58
818	261	57
819	261	57
820	262	57
821	262	56
822	262	56
823	262	56
824	262	55
825	263	55
826	263	55
827	263	54
828	263	54
829	263	54
830	264	53
831	264	53
832	264	53
833	264	52
834	265	52
835	265	52
836	265	51
837	265	51
838	265	51
839	266	50
840	266	50
841	266	50
842	266	49
843	266	49
844	267	49
845	267	48
846	267	48
847	267	47
848	267	47
849	268	47
850	268	46
851	268	46
852	268	46
853	269	45
854	269	45
855	269	45
856	269	44
857	269	44
858	270	44
859	270	43
860	270	43
861	270	43
862	270	43
863	271	42
864	271	42
865	271	42
866	271	41
867	271	41
868	272	41
869	272	40
870	272	40
871	272	40
872	273	39
873	274	39
874	274	39
875	275	38
876	275	38
877	276	38
878	276	38
879	277	37
880	277	37
881	277	37
882	278	36
883	278	36
884	279	36
885	279	35
886	280	35
887	280	35
888	281	35
889	281	34
890	281	34
891	282	34
892	282	33
893	282	33
894	283	33
895	283	32
896	284	32
897	284	32
898	285	32
899	285	31
900	285	31
901	286	31
902	286	30
903	287	30
904	287	30
905	288	29
906	288	29
907	289	29
908	289	28
909	290	28
910	290	28
911	291	28
912	291	27
913	291	27
914	292	27
915	292	26
916	293	26
917	293	26
918	294	25
919	294	25
920	295	25
921	295	25
922	295	24
923	296	24
924	296	24
925	297	23
926	297	23
927	298	23
928	298	22
929	299	22
930	299	22
931	299	21
932	300	21
933	300	21
934	301	20
935	301	20
936	302	20
937	302	20
938	303	19
939	303	19
940	303	19
941	304	18
942	304	18
943	305	18
944	305	17
945	306	17
946	307	17
947	307	16
948	308	16
949	308	16
950	308	15
951	309	15
952	310	15
953	310	14
954	311	14
955	311	14
956	312	14
957	312	13
958	312	13
959	313	13
960	313	12
961	314	12
962	314	12
963	315	11
964	315	11
965	316	11
966	316	10
967	316	10
968	317	10
969	318	9
970	318	9
971	318	9
972	318	8
973	318	8
974	319	8
975	319	7
976	319	7
977	319	7
978	320	6
979	320	6
980	320	6
981	320	5
982	321	5
983	321	5
984	321	4
985	321	4
986	322	4
987	322	3
988	322	3
989	322	3
990	322	2
991	323	2
992	323	2
993	323	1
994	323	1
995	324	1
996	324	0
997	324	0
998	324	0
999	324	0
